"sample.id","iguana.id","unique.id","sample.type","species","site","sex","tourism.level","visited","year","date","month","repro_month","repro_score","svl","tail","mass","glucose","progesterone","testosterone","e2","corticosterone","bacterial.killing.ability","glycerol","true.triglycerides","droms","antioxidants.index"
"F45","19A","19AUC","sample","inornata","UC","F","moderate","visited",2016,"6/26/2016","june","late","RF",30.7,"36.5","1055",161,4.547,"0.899",NA,75.87,55.82783538,37.71213074,70.47037333,24.55121043,301.7716535
"F44","29C","29CUC","sample","inornata","UC","M","moderate","visited",2016,"6/26/2016","june","late","M",20.6,"25.9","347",141,NA,"0.076",NA,11.448,1.665095822,22.86297926,73.33885147,4.671880819,301.7716535
"F43","81/0A","81/0AUC","sample","inornata","UC","M","moderate","visited",2016,"6/26/2016","june","late","M",19.9,"","315",154,NA,"0.08",NA,14.124,0.973923971,24.27718416,52.61730791,2.550465549,298.8188976
"F41","157A","157AFRRC","sample","inornata","FRRC","F","no","non-visited",2016,"6/25/2016","june","late","NRF",33.5,"42.7","1260",147,0.244,"0.45",0.74,27.885,14.10618913,38.04347826,99.97650376,0.059590317,302.3622047
"F36","54A","54AFRRC","sample","inornata","FRRC","M","no","non-visited",2016,"6/25/2016","june","late","M",42.6,"53.3","2655",131,NA,"0.077",NA,18.481,11.34150173,9.769865393,30.52616528,1.704283054,297.0472441
"F22","170A","170AFRRC","sample","inornata","FRRC","F","no","non-visited",2016,"6/24/2016","june","late",NA,NA,"","",114,0.059,"1.036",0.429,13.613,4.957160343,15.41467651,25.02144695,2.026070764,297.6377953
"F21","194","194NC","sample","figginsi","NC","M","no","non-visited",2016,"6/23/2016","june","late","M",30.9,"43.6","1650",85,NA,"0.08",NA,1.178,24.7246022,NA,NA,0.737972167,281.8181818
"F20","197","197NC","sample","figginsi","NC","M","no","non-visited",2016,"6/23/2016","june","late","M",30.7,"32.2/35.5","1300",91,NA,"0.079",NA,0.805,27.84577723,NA,NA,4.692952721,314.4
"F19","134","134NC","sample","figginsi","NC","M","no","non-visited",2016,"6/23/2016","june","late","M",28.1,"39.5","1185",98,NA,"0.351",NA,1.885,17.80905753,14.75620188,34.06593407,1.221471173,300
"F18","193","193NC","sample","figginsi","NC","M","no","non-visited",2016,"6/23/2016","june","late","M",30.3,"37","1225",117,NA,"0.16",NA,2.05,8.996328029,15.39777588,26.60098522,1.246918489,NA
"F16","71","71NAC","sample","figginsi","NAC","F","no","non-visited",2016,"6/20/2016","june",NA,NA,26.3,"34.8","770",161,NA,"",NA,9.394,37.58344459,61.67306872,90.71694985,8.346833185,271.2
"F15","132","132NAC","sample","figginsi","NAC","F","no","non-visited",2016,"6/20/2016","june",NA,NA,25.7,"15.7/25.0","660",199,NA,"",NA,79.697,27.10280374,NA,NA,NA,NA
"F14","127","127NAC","sample","figginsi","NAC","M","no","non-visited",2016,"6/20/2016","june",NA,NA,31.5,"41.1","1295",20,NA,"",NA,7.487,20.32667877,43.74733248,57.39743058,4.978412132,296.4
"F13","130","130NAC","sample","figginsi","NAC","F","no","non-visited",2016,"6/20/2016","june",NA,NA,27.8,"37.6","755",9,NA,"",NA,37.629,9.134906231,16.6453265,38.66556154,2.786083854,295.2
"F12","61","61NAC","sample","figginsi","NAC","M","no","non-visited",2016,"6/20/2016","june",NA,NA,31,"37.4","1180",29,NA,"",NA,16.644,29.28009679,74.47716603,103.7712391,9.659946476,306
"F106","103A","103AFRRC","sample","inornata","FRRC","M","no","non-visited",2016,"9/11/2016","september","post","M",25.7,"35.3","625",158,NA,"0.386",NA,66.508,13.20754717,1.666666667,31.91489362,1.7622701,307.2
"F105","8A","8AFRRC","sample","inornata","FRRC","F","no","non-visited",2016,"9/11/2016","september","post","Post",24.3,"33.6","595",146,1.258,"0.3",0.655,40.974,3.245283019,13.0952381,32.24734043,0.591907514,297.4930362
"F104","120A","120AFRRC","sample","inornata","FRRC","M","no","non-visited",2016,"9/11/2016","september","post","M",25.9,"34.2","710",144,NA,"4.893",NA,0.86,0.920502092,11.66666667,40.30917553,-0.026904887,306
"F103","87B","87BFRRC","sample","inornata","FRRC","F","no","non-visited",2016,"9/11/2016","september","post","Post",24.2,"32.2","645",140,0.716,"0.183",0.891,13.091,8.099173554,15.71428571,17.95212766,3.457277982,296.6573816
"F102","73A","73AFRRC","sample","inornata","FRRC","F","no","non-visited",2016,"9/11/2016","september","post","Post",25,"32.7","620",118,0.441,"1.088",0.71,0.883,4.628099174,11.19047619,16.95478723,1.237624803,298.3286908
"F101","9A","9AFRRC","sample","inornata","FRRC","M","no","non-visited",2016,"9/11/2016","september","post","M",36.7,"47.2","2330",135,NA,"0.458",NA,10.66,5.950413223,7.142857143,18.32613032,0.551550184,304.8
